Player_Id,Year,Rnd,Pick,Tm,Player,Pos,Position Standard,First4AV,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TDs,Rec,Rec_Yds,Rec_Tds,Tkl,Def_Int,Sk,College/Univ,
WinsJa00,2015,1,1,TAM,Jameis Winston,QB,QB,13,21,2016,0,1,2,13,13,26,540,913,6722,42,25,86,311,7,,,,,,,Florida St.,
MariMa01,2015,1,2,TEN,Marcus Mariota,QB,QB,9,21,2016,0,0,2,9,9,23,458,725,5590,42,18,79,516,4,1,41,1,,,,Oregon,
FowlDa00,2015,1,3,JAX,Dante Fowler,OLB,LB,0,21,2016,0,0,0,0,0,10,,,,,,,,,,,,16,,2.5,Florida,
CoopAm00,2015,1,4,OAK,Amari Cooper,WR,WR,9,21,2016,0,1,1,9,9,26,,,,,,3,-3,0,134,1970,9,,,,Alabama,
ScheBr00,2015,1,5,WAS,Brandon Scherff,T,T,7,23,2016,0,0,2,7,7,27,,,,,,,,,,,,,,,Iowa,
WillLe02,2015,1,6,NYJ,Leonard Williams,DE,DE,9,21,2016,0,0,2,9,9,26,,,,,,,,,,,,56,,9,USC,
WhitKe00,2015,1,7,CHI,Kevin White,WR,WR,0,23,2016,0,0,0,0,0,4,,,,,,1,9,0,19,187,0,,,,West Virginia,
BeasVi00,2015,1,8,ATL,Vic Beasley,OLB,LB,7,23,2016,0,0,1,7,7,26,,,,,,,,,,,,44,1,13.5,Clemson,
FlowEr00,2015,1,9,NYG,Ereck Flowers,T,T,9,21,2016,0,0,2,9,9,25,,,,,,,,,1,-11,0,,,,Miami (FL),
GurlTo01,2015,1,10,STL,Todd Gurley,RB,RB,8,21,2016,0,1,2,8,8,23,,,,,,416,1697,14,47,390,0,,,,Georgia,
WaynTr00,2015,1,11,MIN,Trae Waynes,CB,DB,1,23,2016,0,0,0,1,1,26,,,,,,,,,,,,54,2,,Michigan St.,
ShelDa01,2015,1,12,CLE,Danny Shelton,NT,DT,6,22,2016,0,0,2,6,6,27,,,,,,,,,,,,42,,1.5,Washington,
PeatAn00,2015,1,13,NOR,Andrus Peat,T,T,6,21,2016,0,0,0,6,6,21,,,,,,,,,,,,,,,Stanford,
ParkDe01,2015,1,14,MIA,DeVante Parker,WR,WR,3,22,2016,0,0,0,3,3,24,,,,,,,,,64,979,5,,,,Louisville,
GordMe00,2015,1,15,SDG,Melvin Gordon,RB,RB,5,22,2016,0,0,1,5,5,24,,,,,,401,1479,9,66,538,2,,,,Wisconsin,
JohnKe04,2015,1,16,HOU,Kevin Johnson,CB,DB,5,23,2016,0,0,0,5,5,22,,,,,,,,,,,,65,1,,Wake Forest,
ArmsAr01,2015,1,17,SFO,Arik Armstead,DT,DT,1,21,2016,0,0,0,1,1,24,,,,,,,,,,,,23,,4.5,Oregon,
PeteMa00,2015,1,18,KAN,Marcus Peters,CB,DB,11,22,2016,0,1,1,11,11,25,,,,,,,,,,,,79,13,,Washington,
ErviCa00,2015,1,19,CLE,Cameron Erving,C,C,2,23,2016,0,0,0,2,2,24,,,,,,,,,,,,,,,Florida St.,
AghoNe00,2015,1,20,PHI,Nelson Agholor,WR,WR,2,22,2016,0,0,1,2,2,23,,,,,,1,5,0,50,547,2,,,,USC,
OgbuCe00,2015,1,21,CIN,Cedric Ogbuehi,T,T,0,23,2016,0,0,1,0,0,15,,,,,,,,,,,,,,,Texas A&M,
DuprAl00,2015,1,22,PIT,Bud Dupree,OLB,LB,3,22,2016,0,0,0,3,3,18,,,,,,,,,,,,19,,4,Kentucky,
RayxSh00,2015,1,23,DEN,Shane Ray,DE,DE,2,22,2016,0,0,0,2,2,24,,,,,,,,,,,,33,,8,Missouri,
HumpD.00,2015,1,24,ARI,D.J. Humphries,T,T,0,21,2016,0,0,1,0,0,10,,,,,,,,,,,,,,,Florida,
ThomSh01,2015,1,25,CAR,Shaq Thompson,OLB,LB,5,21,2016,0,0,1,5,5,22,,,,,,,,,,,,48,,1,Washington,
PerrBr02,2015,1,26,BAL,Breshad Perriman,WR,WR,0,22,2016,0,0,0,0,0,10,,,,,,1,2,0,20,280,1,,,,Central Florida,
JoneBy00,2015,1,27,DAL,Byron Jones,CB,DB,4,23,2016,0,0,1,4,4,27,,,,,,,,,,,,92,,,Connecticut,
TomlLa01,2015,1,28,DET,Laken Tomlinson,G,G,7,23,2016,0,0,1,7,7,27,,,,,,,,,,,,,,,Duke,
DorsPh00,2015,1,29,IND,Phillip Dorsett,WR,WR,2,22,2016,0,0,0,2,2,21,,,,,,4,20,0,42,620,2,,,,Miami (FL),
RandDa00,2015,1,30,GNB,Damarious Randall,FS,DB,5,23,2016,0,0,0,5,5,19,,,,,,,,,,,,66,4,,Arizona St.,
AnthSt00,2015,1,31,NOR,Stephone Anthony,ILB,LB,6,23,2016,0,0,1,6,6,23,,,,,,,,,,,,74,1,1,Clemson,
BrowMa01,2015,1,32,NWE,Malcom Brown,DT,DT,7,21,2016,0,0,1,7,7,26,,,,,,,,,,,,47,,5,Texas,
CollLa00,2015,2,33,NYG,Landon Collins,SS,DB,5,21,2016,0,0,2,5,5,26,,,,,,,,,,,,146,6,3,Alabama,
SmitDo02,2015,2,34,TAM,Donovan Smith,T,T,8,22,2016,0,0,1,8,8,26,,,,,,,,,,,,,,,Penn St.,
EdwaMa01,2015,2,35,OAK,Mario Edwards,DT,DT,5,21,2015,0,0,1,5,5,14,,,,,,,,,,,,33,,2,Florida St.,
YeldT.00,2015,2,36,JAX,T.J. Yeldon,RB,RB,0,21,2016,0,0,2,7,7,22,,,,,,265,1041,3,70,496,2,,,,Alabama,
SmitDe04,2015,2,37,NYJ,Devin Smith,WR,WR,1,23,2015,0,0,0,1,1,10,,,,,,,,,9,115,1,,,,Ohio St.,
SmitPr00,2015,2,38,WAS,Preston Smith,DE,DE,3,22,2016,0,0,1,3,3,27,,,,,,,,,,,,37,1,11.5,Mississippi St.,
GoldEd00,2015,2,39,CHI,Eddie Goldman,DT,DT,6,21,2016,0,0,1,6,6,18,,,,,,,,,,,,22,,6,Florida St.,
GreeDo00,2015,2,40,TEN,Dorial Green-Beckham,WR,WR,4,22,2016,0,0,0,4,4,26,,,,,,,,,55,797,6,,,,Oklahoma,
